Vendor,Model,Year,Version,Front Size Designation,Front Load Speed Index,Rear Size Designation,Rear Load Speed Index
HYUNDAI,Accent,1995 - 1999,1.5 L 88,155/80 R 13,079T,155/80 R 13,079T
HYUNDAI,Accent,1995 - 1999,1.5 L 88,175/70 R 13,082T,175/70 R 13,082T
LINCOLN,MKC,2014 - 2019,2.3 Ecoboost 285,245/45 R 19,098V,245/45 R 19,098V
LINCOLN,MKC,2014 - 2019,2.3 Ecoboost 285,155/70 R 17,110M,155/70 R 17,110M
LINCOLN,MKC,2014 - 2019,2.3 Ecoboost 285,255/40 R 20,101V,255/40 R 20,101V
LINCOLN,MKC,2014 - 2019,2.3 Ecoboost 285,235/50 R 18,097V,235/50 R 18,097V
SUBARU,Legacy VI,2015 - 2019,2.5 L 175,225/50 R 18,095H,225/50 R 18,095H
SUBARU,Legacy VI,2015 - 2019,2.5 L 175,225/55 R 17,097V,225/55 R 17,097V
MAZDA,E2200,1989 - 1998,2.2 D 70,185/80 R 14,102R,185/80 R 14,102R
KIA,Carnival,2005 - 2014,3.5 V6 260,235/60 R 17,102H,235/60 R 17,102H
KIA,Carnival,2005 - 2014,3.5 V6 260,225/70 R 16,102H,225/70 R 16,102H
KIA,Carnival,2005 - 2014,2.2 CRDI 194,235/60 R 17,102H,235/60 R 17,102H
KIA,Carnival,2005 - 2014,2.2 CRDI 194,225/70 R 16,102H,225/70 R 16,102H
OPEL,Insignia Grand Sport 4x4,2017 - ,2.0 D Bi Turbo 210,245/45 R 18,096W,245/45 R 18,096W
OPEL,Insignia Grand Sport 4x4,2017 - ,2.0 D Bi Turbo 210,235/45 R 18,098W,235/45 R 18,098W
OPEL,Insignia Grand Sport 4x4,2017 - ,2.0 D Bi Turbo 210,225/55 R 17,097W,225/55 R 17,097W
OPEL,Insignia Grand Sport 4x4,2017 - ,2.0 D Bi Turbo 210,245/35 R 20,095Y,245/35 R 20,095Y
KIA,Carnival,2005 - 2014,2.7 V6 189,225/70 R 16,102H,225/70 R 16,102H
KIA,Carnival,2005 - 2014,2.7 V6 189,235/60 R 17,102H,235/60 R 17,102H
MERCEDES,C 270 CDI,2000 - 2006,2.7 CDI 170,205/55 R 16,091V,205/55 R 16,091V
MERCEDES,C 270 CDI,2000 - 2006,2.7 CDI 170,225/45 R 17,091Y,245/40 R 17,091Y
MERCEDES,C 270 CDI,2000 - 2006,2.7 CDI 170,225/50 R 16,092V,225/50 R 16,092V
OPEL,Insignia Grand Sport 4x4,2017 - ,2.0 D 170,245/35 R 20,095Y,245/35 R 20,095Y
OPEL,Insignia Grand Sport 4x4,2017 - ,2.0 D 170,235/45 R 18,098W,235/45 R 18,098W
OPEL,Insignia Grand Sport 4x4,2017 - ,2.0 D 170,245/45 R 18,096W,245/45 R 18,096W
OPEL,Insignia Grand Sport 4x4,2017 - ,2.0 D 170,225/55 R 17,097W,225/55 R 17,097W
MAZDA,RX 7,1992 - 2002,2.7 T 239,225/50 R 16,000ZR,225/50 R 16,000ZR
KIA,Carnival,2005 - 2014,3.8 V6 244,225/70 R 16,102H,225/70 R 16,102H
FORD,Fiesta VI Sedan,2008 - 2017,1.4 L 95,195/50 R 15,082H,195/50 R 15,082H
HYUNDAI,Accent,2011 - 2017,1.6 L 125,175/70 R 14,084T,175/70 R 14,084T
HYUNDAI,Accent,2011 - 2017,1.6 L 125,195/50 R 16,084H,195/50 R 16,084H
ROVER,Streetwise,2003 - 2005,1.4 L 103,205/45 R 17,088V,205/45 R 17,088V
ROVER,Streetwise,2003 - 2005,1.4 L 103,195/60 R 15,088V,195/60 R 15,088V
ROVER,Streetwise,2003 - 2005,1.4 L 103,205/50 R 16,087V,205/50 R 16,087V
FORD,Fiesta VI Sedan,2008 - 2017,1.6 L 120,185/60 R 15,084H,185/60 R 15,084H
FORD,Fiesta VI Sedan,2008 - 2017,1.6 L 120,195/50 R 16,084H,195/50 R 16,084H
LINCOLN,Continental,2017 - 2020,3.0 L Twin Turbo 400,155/70 R 18,112M,155/70 R 18,112M
LINCOLN,Continental,2017 - 2020,3.0 L Twin Turbo 400,245/40 R 20,099Y,245/40 R 20,099Y
LINCOLN,Continental,2017 - 2020,3.0 L Twin Turbo 400,245/40 R 20,099W,245/40 R 20,099W
LINCOLN,Continental,2017 - 2020,3.0 L Twin Turbo 400,255/45 R 19,100V,255/45 R 19,100V
OPEL,Mokka X 4X4,2016 - 2019,1.6 CDTI 136,205/70 R 16,097H,205/70 R 16,097H
OPEL,Mokka X 4X4,2016 - 2019,1.6 CDTI 136,215/65 R 16,098H,215/65 R 16,098H
OPEL,Mokka X 4X4,2016 - 2019,1.6 CDTI 136,215/60 R 17,096V,215/60 R 17,096V
OPEL,Mokka X 4X4,2016 - 2019,1.6 CDTI 136,215/55 R 18,095H,215/55 R 18,095H
OPEL,Mokka X 4X4,2016 - 2019,1.6 CDTI 136,225/45 R 19,092W,225/45 R 19,092W
LINCOLN,Continental,1995 - 2002,4.6 V8 275,225/60 R 16,097H,225/60 R 16,097H
OPEL,Mokka X 4X4,2016 - 2019,1.4 T 152,205/70 R 16,097H,205/70 R 16,097H
OPEL,Mokka X 4X4,2016 - 2019,1.4 T 152,215/65 R 16,098H,215/65 R 16,098H
OPEL,Mokka X 4X4,2016 - 2019,1.4 T 152,215/60 R 17,096V,215/60 R 17,096V
OPEL,Mokka X 4X4,2016 - 2019,1.4 T 152,215/55 R 18,095H,215/55 R 18,095H
OPEL,Mokka X 4X4,2016 - 2019,1.4 T 152,225/45 R 19,092W,225/45 R 19,092W
FORD,Mustang GT Performance Package,2011 - 2014,5.0 V8 420,255/40 R 19,096Y,255/40 R 19,096Y
KIA,Carnival,2005 - 2014,2.9 CRDi 185,235/60 R 17,102H,235/60 R 17,102H
KIA,Carnival,2005 - 2014,2.9 CRDi 185,225/70 R 16,102H,225/70 R 16,102H
SUBARU,Legacy VI,2015 - 2019,2.0 L 148,225/50 R 18,095H,225/50 R 18,095H
SUBARU,Legacy VI,2015 - 2019,2.0 L 148,225/55 R 17,097V,225/55 R 17,097V
NISSAN,Qashqai,2020 - ,1.3 DIG-T 158,215/65 R 16,098H,215/65 R 16,098H
NISSAN,Qashqai,2020 - ,1.3 DIG-T 158,225/45 R 19,092W,225/45 R 19,092W
NISSAN,Qashqai,2020 - ,1.3 DIG-T 158,215/55 R 18,099V,215/55 R 18,099V
NISSAN,Qashqai,2020 - ,1.3 DIG-T 158,215/60 R 17,096H,215/60 R 17,096H
MERCEDES,C 220 D Variant 4Matic,2013 - 2021,2.0 D 194,225/45 R 18,095H,225/45 R 18,095H
MERCEDES,C 220 D Variant 4Matic,2013 - 2021,2.0 D 194,225/40 R 19,093Y,245/35 R 19,093Y
MERCEDES,C 220 D Variant 4Matic,2013 - 2021,2.0 D 194,225/45 R 18,095Y,245/40 R 18,097Y
MERCEDES,C 220 D Variant 4Matic,2013 - 2021,2.0 D 194,225/50 R 17,094H,225/50 R 17,094H
MERCEDES,C 220 D Variant 4Matic,2013 - 2021,2.0 D 194,225/45 R 18,095Y,225/45 R 18,095Y
MERCEDES,C 220 D Variant 4Matic,2013 - 2021,2.0 D 194,225/50 R 17,094W,225/50 R 17,094W
LINCOLN,MKS AWD,2009 - 2016,3.5 V6 Ecoboost 355,255/45 R 19,100V,255/45 R 19,100V
LINCOLN,MKS AWD,2009 - 2016,3.5 V6 Ecoboost 355,245/45 R 20,099V,245/45 R 20,099V
KIA,Carnival,1999 - 2001,2.5 V6 165,215/65 R 15,096H,215/65 R 15,096H
NISSAN,Qashqai,2020 - ,1.3 DIG-T 140,215/60 R 17,096H,215/60 R 17,096H
NISSAN,Qashqai,2020 - ,1.3 DIG-T 140,225/45 R 19,092W,225/45 R 19,092W
NISSAN,Qashqai,2020 - ,1.3 DIG-T 140,215/65 R 16,098H,215/65 R 16,098H
NISSAN,Qashqai,2020 - ,1.3 DIG-T 140,215/55 R 18,099V,215/55 R 18,099V
KIA,Carnival,1999 - 2001,2.9 CRDI 126,215/65 R 15,096H,215/65 R 15,096H
LINCOLN,MKS AWD,2009 - 2016,3.7 V6 275,235/55 R 18,099H,235/55 R 18,099H
LINCOLN,MKS AWD,2009 - 2016,3.7 V6 275,235/55 R 18,099T,235/55 R 18,099T
LINCOLN,MKS AWD,2009 - 2016,3.7 V6 275,255/45 R 19,100V,255/45 R 19,100V
LINCOLN,MKS AWD,2009 - 2016,3.7 V6 275,235/55 R 18,100H,235/55 R 18,100H
LINCOLN,MKS AWD,2009 - 2016,3.7 V6 275,245/45 R 20,099V,245/45 R 20,099V
OPEL,Mokka X 4X4,2016 - 2019,1.4 T 140,205/70 R 16,097H,205/70 R 16,097H
OPEL,Mokka X 4X4,2016 - 2019,1.4 T 140,225/45 R 19,092W,225/45 R 19,092W
OPEL,Mokka X 4X4,2016 - 2019,1.4 T 140,215/55 R 18,095H,215/55 R 18,095H
OPEL,Mokka X 4X4,2016 - 2019,1.4 T 140,215/60 R 17,096V,215/60 R 17,096V
OPEL,Mokka X 4X4,2016 - 2019,1.4 T 140,215/65 R 16,098H,215/65 R 16,098H
MERCEDES,GL 320 CDI,2006 - 2009,3.0 V6 224,265/60 R 18,110V,265/60 R 18,110V
MERCEDES,GL 320 CDI,2006 - 2009,3.0 V6 224,275/55 R 19,111H,275/55 R 19,111H
MERCEDES,GL 320 CDI,2006 - 2009,3.0 V6 224,265/55 R 19,109H,265/55 R 19,109H
MERCEDES,GL 320 CDI,2006 - 2009,3.0 V6 224,275/55 R 19,111V,275/55 R 19,111V
MERCEDES,GL 320 CDI,2006 - 2009,3.0 V6 224,275/50 R 20,109W,275/50 R 20,109W
MERCEDES,GL 320 CDI,2006 - 2009,3.0 V6 224,275/50 R 20,109H,275/50 R 20,109H
MERCEDES,GL 320 CDI,2006 - 2009,3.0 V6 224,265/60 R 18,110H,265/60 R 18,110H
LINCOLN,MKS AWD,2009 - 2016,3.5 V6 EcoBoost 365,245/45 R 20,099V,245/45 R 20,099V
ROVER,215 Cabrio,1989 - 1995,1.4,185/55 R 15,082V,185/55 R 15,082V
FORD,Mustang GT Performance Package,2014 - 2017,5.0 V8 435,255/40 R 19,096Y,275/40 R 19,101Y
NISSAN,Qashqai,2007 - 2013,1.6 L 114,215/55 R 18,099V,215/55 R 18,099V
NISSAN,Qashqai,2007 - 2013,1.6 L 114,215/60 R 17,096H,215/60 R 17,096H
NISSAN,Qashqai,2007 - 2013,1.6 L 114,215/65 R 16,098H,215/65 R 16,098H
LINCOLN,MKS AWD,2009 - 2016,3.7 V6 304,255/45 R 19,100V,255/45 R 19,100V
LINCOLN,MKS AWD,2009 - 2016,3.7 V6 304,245/45 R 20,099V,245/45 R 20,099V
KIA,Carnival,2015 - 2020,2.2 CRDi 200,135/90 R 17,104M,135/90 R 17,104M
KIA,Carnival,2015 - 2020,2.2 CRDi 200,235/65 R 17,104W,235/65 R 17,104W
KIA,Carnival,2015 - 2020,2.2 CRDi 200,235/55 R 19,101W,235/55 R 19,101W
KIA,Carnival,2015 - 2020,2.2 CRDi 200,235/60 R 18,103W,235/60 R 18,103W
NISSAN,Qashqai,2007 - 2013,1.6 L 117,215/55 R 18,099V,215/55 R 18,099V
NISSAN,Qashqai,2007 - 2013,1.6 L 117,215/60 R 17,096H,215/60 R 17,096H
NISSAN,Qashqai,2007 - 2013,1.6 L 117,215/65 R 16,098H,215/65 R 16,098H
HYUNDAI,Accent,2011 - 2017,1.4 L 110,175/70 R 14,084T,175/70 R 14,084T
HYUNDAI,Accent,2011 - 2017,1.4 L 110,195/50 R 16,084H,195/50 R 16,084H
FORD,Mustang GT Performance Package,2017 - ,5.0 V8 460,255/40 R 19,100Y,275/40 R 19,105Y
NISSAN,Qashqai,2007 - 2013,1.5 dCi 110,215/60 R 17,096H,215/60 R 17,096H
NISSAN,Qashqai,2007 - 2013,1.5 dCi 110,215/65 R 16,098H,215/65 R 16,098H
NISSAN,Qashqai,2007 - 2013,1.5 dCi 110,215/55 R 18,099V,215/55 R 18,099V
OPEL,Adam,2013 - 2019,1.4 L 87,185/60 R 15,084Q,185/60 R 15,084Q
OPEL,Adam,2013 - 2019,1.4 L 87,225/35 R 18,087W,225/35 R 18,087W
OPEL,Adam,2013 - 2019,1.4 L 87,185/65 R 15,088T,185/65 R 15,088T
OPEL,Adam,2013 - 2019,1.4 L 87,215/45 R 17,087H,215/45 R 17,087H
OPEL,Adam,2013 - 2019,1.4 L 87,195/55 R 16,087T,195/55 R 16,087T
LINCOLN,MKZ Ibrida,2013 - 2020,2.0 Hybrid 188,245/45 R 18,100W,245/45 R 18,100W
HYUNDAI,Accent,2011 - 2017,1.6 CRDi 128,175/70 R 14,084T,175/70 R 14,084T
HYUNDAI,Accent,2011 - 2017,1.6 CRDi 128,195/50 R 16,084H,195/50 R 16,084H
NISSAN,Qashqai,2007 - 2013,2.0 L 140,215/60 R 17,096H,215/60 R 17,096H
NISSAN,Qashqai,2007 - 2013,2.0 L 140,215/65 R 16,098H,215/65 R 16,098H
NISSAN,Qashqai,2007 - 2013,2.0 L 140,215/55 R 18,099V,215/55 R 18,099V
OPEL,Adam,2013 - 2019,1.0 T 115,185/60 R 15,084Q,185/60 R 15,084Q
OPEL,Adam,2013 - 2019,1.0 T 115,215/45 R 17,087V,215/45 R 17,087V
OPEL,Adam,2013 - 2019,1.0 T 115,225/35 R 18,087W,225/35 R 18,087W
OPEL,Adam,2013 - 2019,1.0 T 115,195/55 R 16,087H,195/55 R 16,087H
HYUNDAI,Accent,2011 - 2017,1.4 L 100,175/70 R 14,084T,175/70 R 14,084T
HYUNDAI,Accent,2011 - 2017,1.4 L 100,195/50 R 16,084H,195/50 R 16,084H
OPEL,Adam,2013 - 2019,1.4 L 100,185/60 R 15,084Q,185/60 R 15,084Q
OPEL,Adam,2013 - 2019,1.4 L 100,225/35 R 18,087W,225/35 R 18,087W
OPEL,Adam,2013 - 2019,1.4 L 100,185/65 R 15,088T,185/65 R 15,088T
OPEL,Adam,2013 - 2019,1.4 L 100,215/45 R 17,087H,215/45 R 17,087H
OPEL,Adam,2013 - 2019,1.4 L 100,195/55 R 16,087T,195/55 R 16,087T
MERCEDES,C 300 h,2013 - 2021,2.1 Hybrid 231,225/50 R 17,094W,245/45 R 17,095W
MERCEDES,C 300 h,2013 - 2021,2.1 Hybrid 231,225/50 R 17,094W,225/50 R 17,094W
MERCEDES,C 300 h,2013 - 2021,2.1 Hybrid 231,225/45 R 18,095Y,245/40 R 18,097Y
MERCEDES,C 300 h,2013 - 2021,2.1 Hybrid 231,225/40 R 19,093Y,255/35 R 19,096Y
MERCEDES,C 300 h,2013 - 2021,2.1 Hybrid 231,225/45 R 18,095H,225/45 R 18,095H
MERCEDES,C 300 h,2013 - 2021,2.1 Hybrid 231,225/40 R 19,093Y,245/35 R 19,093Y
OPEL,Adam,2013 - 2019,1.2 L 70,185/60 R 15,084Q,185/60 R 15,084Q
OPEL,Adam,2013 - 2019,1.2 L 70,225/35 R 18,087W,225/35 R 18,087W
OPEL,Adam,2013 - 2019,1.2 L 70,215/45 R 17,087H,215/45 R 17,087H
OPEL,Adam,2013 - 2019,1.2 L 70,195/55 R 16,087T,195/55 R 16,087T
OPEL,Adam,2013 - 2019,1.2 L 70,185/65 R 15,088T,185/65 R 15,088T
SUBARU,Legacy VI,2015 - 2019,3.6 H6 256,225/50 R 18,095H,225/50 R 18,095H
HYUNDAI,Accent,2000 - 2006,1.3 L 86,175/70 R 13,082T,175/70 R 13,082T
HYUNDAI,Accent,2000 - 2006,1.3 L 86,185/60 R 14,082H,185/60 R 14,082H
MAZDA,Mazda6,2002 - 2007,2.3 L 166,215/45 R 17,091W,215/45 R 17,091W
MAZDA,Mazda6,2002 - 2007,2.3 L 166,205/55 R 16,091V,205/55 R 16,091V
MAZDA,Mazda6,2002 - 2007,2.3 L 166,195/65 R 15,091V,195/65 R 15,091V
HYUNDAI,Accent,2000 - 2006,1.5 L 90,175/70 R 13,082T,175/70 R 13,082T
HYUNDAI,Accent,2000 - 2006,1.5 L 90,185/60 R 14,082H,185/60 R 14,082H
MAZDA,Mazda6,2002 - 2007,1.8 L 120,215/45 R 17,091W,215/45 R 17,091W
MAZDA,Mazda6,2002 - 2007,1.8 L 120,205/55 R 16,091V,205/55 R 16,091V
MAZDA,Mazda6,2002 - 2007,1.8 L 120,195/65 R 15,091V,195/65 R 15,091V
KIA,Carnival,2015 - 2020,3.3 V6 280,235/60 R 18,103W,235/60 R 18,103W
KIA,Carnival,2015 - 2020,3.3 V6 280,135/90 R 17,104M,135/90 R 17,104M
KIA,Carnival,2015 - 2020,3.3 V6 280,235/65 R 17,104W,235/65 R 17,104W
KIA,Carnival,2015 - 2020,3.3 V6 280,235/55 R 19,101W,235/55 R 19,101W
LINCOLN,MKZ Ibrida,2007 - 2012,2.5 Hybrid 193,225/50 R 17,093V,225/50 R 17,093V
MERCEDES,E 200,1993 - 1995,2.0 L 136,195/65 R 15,091H,195/65 R 15,091H
MERCEDES,E 200,1993 - 1995,2.0 L 136,205/60 R 15,091H,205/60 R 15,091H
OPEL,Combo Tour,2001 - 2011,1.7 DI 65,175/65 R 14,086T,175/65 R 14,086T
MAZDA,Mazda6,2002 - 2007,2.0 MZR-CD 120,215/45 R 17,091W,215/45 R 17,091W
MAZDA,Mazda6,2002 - 2007,2.0 MZR-CD 120,205/55 R 16,091V,205/55 R 16,091V
MAZDA,Mazda6,2002 - 2007,2.0 MZR-CD 120,195/65 R 15,091V,195/65 R 15,091V
OPEL,Combo Tour,2001 - 2011,1.3 CDTI 70,185/60 R 15,084H,185/60 R 15,084H
OPEL,Combo Tour,2001 - 2011,1.3 CDTI 70,175/70 R 14,084T,175/70 R 14,084T
OPEL,Combo Tour,2001 - 2011,1.3 CDTI 70,175/65 R 14,090T,175/65 R 14,090T
MAZDA,Mazda6,2002 - 2007,2.0 L 141,195/65 R 15,091V,195/65 R 15,091V
MAZDA,Mazda6,2002 - 2007,2.0 L 141,205/55 R 16,091V,205/55 R 16,091V
MAZDA,Mazda6,2002 - 2007,2.0 L 141,215/45 R 17,091W,215/45 R 17,091W
OPEL,Combo Tour,2001 - 2011,1.4 16V 90,175/65 R 14,090T,175/65 R 14,090T
OPEL,Combo Tour,2001 - 2011,1.4 16V 90,175/70 R 14,084T,175/70 R 14,084T
OPEL,Combo Tour,2001 - 2011,1.4 16V 90,185/60 R 15,084H,185/60 R 15,084H
MAZDA,Mazda6,2002 - 2007,2.0 MZR-CD 136,195/65 R 15,091V,195/65 R 15,091V
MAZDA,Mazda6,2002 - 2007,2.0 MZR-CD 136,205/55 R 16,091V,205/55 R 16,091V
MAZDA,Mazda6,2002 - 2007,2.0 MZR-CD 136,215/45 R 17,091W,215/45 R 17,091W
MERCEDES,E 200,2016 - ,2.0 L 184,225/55 R 17,097Y,225/55 R 17,097Y
MERCEDES,E 200,2016 - ,2.0 L 184,245/45 R 18,100Y,275/40 R 18,103Y
MERCEDES,E 200,2016 - ,2.0 L 184,245/40 R 19,098Y,245/40 R 19,098Y
MERCEDES,E 200,2016 - ,2.0 L 184,245/40 R 19,098Y,275/35 R 19,100Y
MERCEDES,E 200,2016 - ,2.0 L 184,245/35 R 20,095Y,275/30 R 20,097Y
MERCEDES,E 200,2016 - ,2.0 L 184,245/45 R 18,100Y,245/45 R 18,100Y
MERCEDES,E 200,2016 - ,2.0 L 184,205/65 R 16,095V,205/65 R 16,095V
HYUNDAI,Accent,2000 - 2006,1.6 L 105,185/60 R 14,082H,185/60 R 14,082H
HYUNDAI,Accent,2000 - 2006,1.6 L 105,185/55 R 15,082H,185/55 R 15,082H
HYUNDAI,Accent,2000 - 2006,1.6 L 105,175/70 R 13,082T,175/70 R 13,082T
ROVER,416 Tourer,1992 - 1999,1.6,175/65 R 14,082H,175/65 R 14,082H
FORD,Cougar ST 200,1999 - 2001,2.5 V6 200,215/45 R 17,087W,215/45 R 17,087W
HYUNDAI,Accent,2000 - 2006,1.3 L 75,185/60 R 14,082H,185/60 R 14,082H
HYUNDAI,Accent,2000 - 2006,1.3 L 75,175/70 R 13,082T,175/70 R 13,082T
HYUNDAI,Accent,2000 - 2006,1.5 L 102,185/60 R 14,082H,185/60 R 14,082H
HYUNDAI,Accent,2000 - 2006,1.5 L 102,175/70 R 13,082T,175/70 R 13,082T
LINCOLN,Navigator L,2007 - 2017,5.4 V8 310,275/55 R 20,111H,275/55 R 20,111H
LINCOLN,Navigator L,2007 - 2017,5.4 V8 310,255/70 R 18,112H,255/70 R 18,112H
NISSAN,Qashqai,2007 - 2013,1.6 dCi 130,215/60 R 17,096H,215/60 R 17,096H
NISSAN,Qashqai,2007 - 2013,1.6 dCi 130,215/55 R 18,099V,215/55 R 18,099V
NISSAN,Qashqai,2007 - 2013,1.6 dCi 130,215/65 R 16,098H,215/65 R 16,098H
ROVER,75 station wagon,1998 - 2007,2.0 V6 150,205/65 R 15,094V,205/65 R 15,094V
ROVER,75 station wagon,1998 - 2007,2.0 V6 150,215/55 R 16,093W,215/55 R 16,093W
ROVER,75 station wagon,1998 - 2007,2.0 V6 150,225/45 R 17,090W,225/45 R 17,090W
ROVER,75 station wagon,1998 - 2007,2.0 V6 150,225/45 R 18,091W,225/45 R 18,091W
ROVER,75 station wagon,1998 - 2007,2.0 V6 150,195/65 R 15,091V,195/65 R 15,091V
HYUNDAI,Accent,2000 - 2006,1.5 CRDI 82,175/70 R 13,082T,175/70 R 13,082T
HYUNDAI,Accent,2000 - 2006,1.5 CRDI 82,185/60 R 14,082H,185/60 R 14,082H
HYUNDAI,Accent,2000 - 2006,1.5 CRDI 82,185/55 R 15,082H,185/55 R 15,082H
SUBARU,XV,2017 - ,2.0i boxer 156,225/55 R 18,098V,225/55 R 18,098V
OPEL,Combo Tour,2001 - 2011,1.7 CDTI 100,185/60 R 15,088T,185/60 R 15,088T
OPEL,Combo Tour,2001 - 2011,1.7 CDTI 100,175/65 R 14,090T,175/65 R 14,090T
LINCOLN,Navigator L,2007 - 2017,3.5 V6 EcoBoost 380,285/45 R 22,114H,285/45 R 22,114H
LINCOLN,Navigator L,2007 - 2017,3.5 V6 EcoBoost 380,275/55 R 20,111S,275/55 R 20,111S
OPEL,Combo Tour,2001 - 2011,1.7 DTI 75,175/65 R 14,086T,175/65 R 14,086T
OPEL,Combo Tour,2001 - 2011,1.6 L 87,175/65 R 14,086T,175/65 R 14,086T
SUBARU,XV,2012 - 2016,2.0i boxer 150,215/55 R 17,094Q,215/55 R 17,094Q
SUBARU,XV,2012 - 2016,2.0i boxer 150,225/55 R 17,097V,225/55 R 17,097V
KIA,Sportage V,2022 - ,1.6 T-GDi Hybrid 265,215/65 R 17,103V,215/65 R 17,103V
KIA,Sportage V,2022 - ,1.6 T-GDi Hybrid 265,235/50 R 19,103V,235/50 R 19,103V
KIA,Sportage V,2022 - ,1.6 T-GDi Hybrid 265,235/55 R 18,104V,235/55 R 18,104V
SUBARU,XV,2012 - 2016,2.0 D 147,225/55 R 17,097V,225/55 R 17,097V
SUBARU,XV,2012 - 2016,2.0 D 147,215/55 R 17,094Q,215/55 R 17,094Q
KIA,Sportage V,2022 - ,1.6 T-GDi Hybrid 230,235/55 R 18,104V,235/55 R 18,104V
KIA,Sportage V,2022 - ,1.6 T-GDi Hybrid 230,215/65 R 17,103V,215/65 R 17,103V
KIA,Sportage V,2022 - ,1.6 T-GDi Hybrid 230,235/50 R 19,103V,235/50 R 19,103V
ROVER,75 station wagon,1998 - 2007,2.0 CDT 115,195/65 R 15,091V,195/65 R 15,091V
ROVER,75 station wagon,1998 - 2007,2.0 CDT 115,215/55 R 16,093W,215/55 R 16,093W
ROVER,75 station wagon,1998 - 2007,2.0 CDT 115,225/45 R 17,090W,225/45 R 17,090W
ROVER,75 station wagon,1998 - 2007,2.0 CDT 115,205/65 R 15,094V,205/65 R 15,094V
NISSAN,Qashqai,2007 - 2013,1.5 dCi 106,215/65 R 16,098H,215/65 R 16,098H
NISSAN,Qashqai,2007 - 2013,1.5 dCi 106,215/55 R 18,099V,215/55 R 18,099V
NISSAN,Qashqai,2007 - 2013,1.5 dCi 106,215/60 R 17,096H,215/60 R 17,096H
FORD,Mustang GT Performance Package Level 2,2017 - ,5.0 V8 460,305/30 R 19,098(Y),305/30 R 19,098(Y)
OPEL,Combo Tour,2012 - 2018,1.6 CDTI 90,195/65 R 15,095T,195/65 R 15,095T
OPEL,Combo Tour,2012 - 2018,1.6 CDTI 90,185/65 R 15,088T,185/65 R 15,088T
OPEL,Combo Tour,2012 - 2018,1.6 CDTI 90,195/60 R 16,099T,195/60 R 16,099T
SUBARU,XV,2012 - 2016,1.6i boxer 114,225/55 R 17,097V,225/55 R 17,097V
SUBARU,XV,2012 - 2016,1.6i boxer 114,215/55 R 17,094Q,215/55 R 17,094Q
KIA,Sportage V,2022 - ,1.6 T-GDi MHEV 150,235/50 R 19,103V,235/50 R 19,103V
KIA,Sportage V,2022 - ,1.6 T-GDi MHEV 150,215/65 R 17,103V,215/65 R 17,103V
KIA,Sportage V,2022 - ,1.6 T-GDi MHEV 150,235/55 R 18,104V,235/55 R 18,104V
MAZDA,Mazda6,2012 - ,2.2 D 175,225/45 R 19,092W,225/45 R 19,092W
MAZDA,Mazda6,2012 - ,2.2 D 175,215/65 R 16,098Q,215/65 R 16,098Q
MAZDA,Mazda6,2012 - ,2.2 D 175,225/55 R 17,097V,225/55 R 17,097V
MERCEDES,E 200,1995 - 2002,2.0 L 136,205/65 R 15,094V,205/65 R 15,094V
MERCEDES,E 200,1995 - 2002,2.0 L 136,215/55 R 16,093W,215/55 R 16,093W
MERCEDES,E 200,1995 - 2002,2.0 L 136,235/45 R 17,094Y,235/45 R 17,094Y
MERCEDES,E 200,1995 - 2002,2.0 L 136,195/65 R 15,091H,195/65 R 15,091H
MERCEDES,E 200,1995 - 2002,2.0 L 136,235/40 R 18,000ZR,235/40 R 18,000ZR
ROVER,75 station wagon,1998 - 2007,1.8 L 120,225/45 R 17,090W,225/45 R 17,090W
ROVER,75 station wagon,1998 - 2007,1.8 L 120,205/65 R 15,094V,205/65 R 15,094V
ROVER,75 station wagon,1998 - 2007,1.8 L 120,195/65 R 15,091V,195/65 R 15,091V
ROVER,75 station wagon,1998 - 2007,1.8 L 120,215/55 R 16,093W,215/55 R 16,093W
ROVER,75 station wagon,1998 - 2007,1.8 L 120,225/45 R 18,091W,225/45 R 18,091W
OPEL,Combo Tour,2012 - 2018,1.6 CDTI 105,195/65 R 15,095T,195/65 R 15,095T
OPEL,Combo Tour,2012 - 2018,1.6 CDTI 105,185/65 R 15,088T,185/65 R 15,088T
OPEL,Combo Tour,2012 - 2018,1.6 CDTI 105,195/60 R 16,099T,195/60 R 16,099T
MAZDA,Mazda6,2012 - ,2.0 L 146,215/65 R 16,098Q,215/65 R 16,098Q
MAZDA,Mazda6,2012 - ,2.0 L 146,225/45 R 19,092W,225/45 R 19,092W
MAZDA,Mazda6,2012 - ,2.0 L 146,225/55 R 17,097V,225/55 R 17,097V
MERCEDES,E 200,1995 - 2002,2.0 Kompressor 163,235/45 R 17,094W,235/45 R 17,094W
MERCEDES,E 200,1995 - 2002,2.0 Kompressor 163,215/55 R 16,093W,215/55 R 16,093W
MERCEDES,E 200,1995 - 2002,2.0 Kompressor 163,215/55 R 16,093H,215/55 R 16,093H
MERCEDES,E 200,1995 - 2002,2.0 Kompressor 163,235/45 R 17,094H,235/45 R 17,094H
MERCEDES,E 200,1995 - 2002,2.0 Kompressor 163,215/55 R 16,093V,215/55 R 16,093V
MERCEDES,E 200,1995 - 2002,2.0 Kompressor 163,235/40 R 18,091V,265/35 R 18,093V
FORD,Sierra Clipper,1982 - 1986,2.0,175/80 R 13,086H,175/80 R 13,086H
