Vendor,Model,Year,Version,Front Size Designation,Front Load Speed Index,Rear Size Designation,Rear Load Speed Index
LADA,112,2000 - 2008,1.4 L 90,175/65 R 14,082H,175/65 R 14,082H
MERCEDES-AMG,R 63,2006 - 2017,6.2 V8 510,265/45 R 20,104Y,265/45 R 20,104Y
MERCEDES-AMG,R 63,2006 - 2017,6.2 V8 510,255/45 R 20,105H,255/45 R 20,105H
MERCEDES-AMG,R 63,2006 - 2017,6.2 V8 510,265/40 R 21,105Y,265/40 R 21,105Y
MASERATI,Quattroporte S Q4,2013 - ,3.0 L BiTurbo 430,245/40 R 20,099ZR(Y),285/35 R 20,100ZR(Y)
MASERATI,Quattroporte S Q4,2013 - ,3.0 L BiTurbo 430,245/45 R 19,098ZR(Y),275/40 R 19,101ZR(Y)
MASERATI,Quattroporte S Q4,2013 - ,3.0 L BiTurbo 430,245/35 R 21,096Y,285/30 R 21,100Y
MASERATI,Quattroporte S Q4,2013 - ,3.0 L BiTurbo 430,245/35 R 21,096ZR(Y),285/30 R 21,100ZR(Y)
CHRYSLER,Voyager 4x4,1995 - 2001,2.5 TD 115,215/65 R 15,096T,215/65 R 15,096T
BENTLEY,Continental Supersports Cabrio,2017 - 2018,6.0 W12 710,275/35 R 20,102W,275/35 R 20,102W
BENTLEY,Continental Supersports Cabrio,2017 - 2018,6.0 W12 710,275/35 R 21,103ZR(Y),275/35 R 21,103ZR(Y)
IVECO,35S12,2000 - 2006,2.3 D 116,225/65 R 16,112Q,225/65 R 16,112Q
IVECO,35S12,2000 - 2006,2.3 D 116,235/65 R 16,115Q,235/65 R 16,115Q
IVECO,35S12,2000 - 2006,2.3 D 116,205/65 R 16,107Q,205/65 R 16,107Q
IVECO,35S12,2000 - 2006,2.3 D 116,215/65 R 16,109Q,215/65 R 16,109Q
IVECO,35S12,2000 - 2006,2.3 D 116,185/75 R 16,104Q,185/75 R 16,104Q
IVECO,35S12,2000 - 2006,2.3 D 116,195/65 R 16,104Q,195/65 R 16,104Q
DAIHATSU,Applause,1997 - 2000,1.6 L 99,185/60 R 14,082H,185/60 R 14,082H
DAIHATSU,Applause,1997 - 2000,1.6 L 99,175/70 R 13,082H,175/70 R 13,082H
BENTLEY,Continental Supersports Cabrio,2003 - 2011,6.0 W12 630,275/35 R 20,102W,275/35 R 20,102W
BENTLEY,Continental Supersports Cabrio,2003 - 2011,6.0 W12 630,275/35 R 20,000ZR,275/35 R 20,000ZR
LADA,112,2000 - 2008,1.6 L 80,175/65 R 14,082H,175/65 R 14,082H
IVECO,29L15,2011 - 2014,2.3 D 146,205/65 R 16,107R,205/65 R 16,107R
IVECO,29L15,2011 - 2014,2.3 D 146,215/65 R 16,109R,215/65 R 16,109R
SKODA,Octavia,1996 - 2004,1.8 L 125,195/65 R 15,091V,195/65 R 15,091V
DALLARA,Stradale,2018 - ,2.3 L 400,205/45 R 17,088Y,255/35 R 18,094Y
DALLARA,Stradale,2018 - ,2.3 L 400,205/40 R 18,086ZR(Y),255/30 R 19,091ZR(Y)
MERCEDES-AMG,C 43 station wagon,1996 - 2001,4.3 V8 306,225/45 R 17,090H,225/45 R 17,090H
MERCEDES-AMG,C 43 station wagon,1996 - 2001,4.3 V8 306,215/45 R 17,087H,215/45 R 17,087H
MERCEDES-AMG,C 43 station wagon,1996 - 2001,4.3 V8 306,225/45 R 17,091Y,245/40 R 17,093Y
ASTON MARTIN,DBS Superleggera Distilled Energy,2019 - ,5.2 V12 715,265/35 R 21,101Y,305/30 R 21,104Y
ASTON MARTIN,DBS Superleggera Distilled Energy,2019 - ,5.2 V12 715,265/35 R 21,101ZR(Y),305/30 R 21,104ZR(Y)
CHRYSLER,Sebring,2007 - 2011,2.4 L 170,215/60 R 17,096H,215/60 R 17,096H
CHRYSLER,Sebring,2007 - 2011,2.4 L 170,215/55 R 18,095H,215/55 R 18,095H
IVECO,35S17V,2014 - ,3.0 D 170,225/65 R 16,112R,225/65 R 16,112R
IVECO,35S17V,2014 - ,3.0 D 170,235/65 R 16,115R,235/65 R 16,115R
DAIHATSU,Terios 4WD,1997 - 2006,1.3 L 86,205/70 R 15,095S,205/70 R 15,095S
BENTLEY,Bentayga,2019 - ,3.0i V6 340,275/50 R 20,113W,275/50 R 20,113W
